ObjectID,Program,CaseID,Full_Address,Match_Address,GEOPIN,Units,Demolition_Start,Demolition_Complete,Location 1
1095,SDER (NOSD),DRCES10C002-00189,2932 Benefit Street,2932 BENEFIT ST,41090794,1,10/07/2010 12:00:00 AM,07/21/2011 12:00:00 AM,"(29.99080260470, -90.04039070610)"
2361,NORA,,2745 ACACIA ST,2745 ACACIA ST,41193906,1,10/25/2010 12:00:00 AM,10/25/2010 12:00:00 AM,"(29.99644205350, -90.04627053470)"
1500,NORA,,3626 ST FERDINAND ST,3626 ST FERDINAND ST,41181241,1,10/25/2010 12:00:00 AM,04/15/2011 12:00:00 AM,"(29.99623681340, -90.04101430220)"
1162,NORA,,3108 ANNETTE ST,3108 ANNETTE ST,41076922,1,10/25/2010 12:00:00 AM,06/07/2011 12:00:00 AM,"(29.98974398450, -90.06467920980)"
692,NORA,ORL106738,3316-3318 MANDEVILLE STREET,3316 MANDEVILLE ST,41077260,1,11/02/2010 12:00:00 AM,05/11/2012 12:00:00 AM,"(29.99241860330, -90.05655487290)"
1537,IDC,,2755 BENEFIT STREET,2755 BENEFIT ST,41192298,1,11/02/2010 12:00:00 AM,06/25/2012 12:00:00 AM,"(29.99173130140, -90.04529705950)"
1576,IDC,,3330-02 MONTEGUT STREET,3330 MONTEGUT ST,41090561,2,11/02/2010 12:00:00 AM,08/23/2012 12:00:00 AM,"(29.99258769520, -90.03881246290)"
2018,NORA,,2053 PLEASURE ST,2053 PLEASURE ST,41078877,1,11/09/2010 12:00:00 AM,11/09/2010 12:00:00 AM,"(29.99283108050, -90.06197957390)"
1401,NORA,,3222 PEOPLES AVE,3222 PEOPLES AVE,41090602,1,11/09/2010 12:00:00 AM,04/29/2011 12:00:00 AM,"(29.99214623200, -90.04527887540)"
808,NORA,ORL167404,3440 PIEDMONT DRIVE,3440 PIEDMONT DR,41079103,1,11/17/2010 12:00:00 AM,04/26/2012 12:00:00 AM,"(29.99367362130, -90.05249643680)"
1384,NORA,,3137 - 3139 EADS ST,3137 EADS ST,41090936,1,11/19/2010 12:00:00 AM,06/08/2011 12:00:00 AM,"(29.99135887170, -90.04798715010)"
2365,NORA,,3345 PIETY ST,3345 PIETY ST,41090700,1,12/21/2010 12:00:00 AM,12/21/2010 12:00:00 AM,"(29.99165371230, -90.03390452440)"
1280,NORA,,2518 JONQUIL ST,2518 JONQUIL ST,41077041,1,12/21/2010 12:00:00 AM,06/27/2011 12:00:00 AM,"(29.99816307740, -90.05164188580)"
1649,NORA,,2718 TREASURE ST,2718 TREASURE ST,41194827,1,01/07/2011 12:00:00 AM,02/09/2011 12:00:00 AM,"(29.99039190780, -90.04652619100)"
627,NORA,ORL086706,3408 CLERMONT DRIVE,3408 CLERMONT DR,41204699,1,01/07/2011 12:00:00 AM,03/20/2012 12:00:00 AM,"(29.99280107770, -90.05298538600)"
1178,NORA,,2522 - 24 SAGE ST,2522 SAGE ST,41074979,1,01/11/2011 12:00:00 AM,06/08/2011 12:00:00 AM,"(29.99343217090, -90.05050505410)"
761,NORA,ORL135300,3114 TOURO STREET,3114 TOURO ST,41075213,1,02/02/2011 12:00:00 AM,08/22/2012 12:00:00 AM,"(29.99002467900, -90.06118484580)"
2318,NORA,,3714 METROPOLITAN ST,3714 METROPOLITAN ST,41091595,1,02/09/2011 12:00:00 AM,02/09/2011 12:00:00 AM,"(29.99593354420, -90.03571099420)"
1012,SDER (NOSD),DRCES10C002-00099,2239 Humanity Street,2239 HUMANITY ST,41076463,1,02/21/2011 12:00:00 AM,02/28/2011 12:00:00 AM,"(29.99212899050, -90.05755696570)"
870,NORA,ORL218432,2626-28 ELDER STREET,2626 ELDER ST,41111085,1,02/22/2011 12:00:00 AM,04/26/2012 12:00:00 AM,"(29.99435036670, -90.04873490870)"
2104,NORA,,3024 SPAIN ST,3024 SPAIN ST,41078549,1,03/04/2011 12:00:00 AM,03/04/2011 12:00:00 AM,"(29.98958465980, -90.05521291030)"
1711,NORA,,2735 EDGE ST,2735 EDGE ST,41090943,1,03/15/2011 12:00:00 AM,06/23/2011 12:00:00 AM,"(29.99289214180, -90.04600756580)"
2050,NORA,,2040 LAFRENIERE ST,2040 LAFRENIERE ST,41078882,1,04/15/2011 12:00:00 AM,04/15/2011 12:00:00 AM,"(29.99350458930, -90.06210932830)"
1592,NORA,,2705 BAY ST,2705 BAY ST,41090777,1,04/15/2011 12:00:00 AM,06/28/2011 12:00:00 AM,"(29.99322742200, -90.04671622970)"
1813,IDC,,3343-45 Louisa st.,3343 LOUISA ST,41177229,2,04/18/2011 12:00:00 AM,04/18/2011 12:00:00 AM,"(29.99185166340, -90.03478462450)"
1139,NORA,,3010 BENEFIT ST,3010 BENEFIT ST,41129249,1,04/29/2011 12:00:00 AM,10/11/2010 12:00:00 AM,"(29.99056920790, -90.03879590090)"
1464,NORA,,3227 -3229 MONTEGUT ST,3227 MONTEGUT ST,41091517,1,04/29/2011 12:00:00 AM,01/11/2011 12:00:00 AM,"(29.99136070860, -90.03870227050)"
2142,NORA,,3024 PEOPLES AVE,3024 PEOPLES AVE,41091430,1,04/29/2011 12:00:00 AM,04/29/2011 12:00:00 AM,"(29.99017322640, -90.04512356330)"
