"case_number","p_sell","p_demolish","error","variance"
"12-07330-PNBL",0.983057496631981,0.0169425033680194,0.0169425033680194,0.000325860137500291
"12-07373-PNBL",0.135423982913754,0.864576017086246,0.135423982913754,0.0228428594796135
"12-07374-PNBL",0.897276281192286,0.102723718807714,0.897276281192286,0.807208674612083
"12-07415-PNBL",0.987310916535711,0.0126890834642892,0.0126890834642892,0.000202968710746139
"12-07461-PNBL",0.0842227859100789,0.915777214089921,0.915777214089921,0.841129452716319
"12-07481-PNBL",0.800659236566445,0.199340763433555,0.199340763433555,0.0487128208857321
"12-07485-PNBL",0.981855091614684,0.0181449083853157,0.981855091614684,0.964119496844699
"12-07606-PNBL",0.988543846803189,0.0114561531968106,0.0114561531968106,0.00015024839318778
"12-07660-PNBL",0.0456882286035456,0.954311771396454,0.0456882286035456,0.00238890001620517
"12-07689-PNBL",0.983856234762391,0.0161437652376087,0.0161437652376087,0.000398680147005892
"12-07729-PNBL",0.989045175973522,0.0109548240264777,0.0109548240264777,0.000162745317849283
"12-07732-PNBL",0.990255732259386,0.00974426774061436,0.00974426774061436,0.000106769723370793
"12-07761-PNBL",0.954625153937594,0.0453748460624056,0.0453748460624056,0.00303269257474873
"12-07853-PNBL",0.981013039530343,0.0189869604696566,0.0189869604696566,0.000590346739228749
"12-07889-PNBL",0.0625767838979524,0.937423216102048,0.0625767838979524,0.0047131770336883
"12-07987-PNBL",0.987963947404564,0.0120360525954357,0.0120360525954357,0.00015907049666293
"12-08008-PNBL",0.978725577639362,0.0212744223606383,0.0212744223606383,0.000662038782040737
"12-08091-PNBL",0.705067676712464,0.294932323287536,0.294932323287536,0.0982568230513229
"12-08166-PNBL",0.988043550663954,0.011956449336046,0.011956449336046,0.000158193506975768
"12-08189-PNBL",0.984590119339579,0.0154098806604214,0.0154098806604214,0.000373796421599228
"12-08190-PNBL",0.984892619505207,0.015107380494793,0.015107380494793,0.000338721464571016
"12-08206-PNBL",0.986367614636851,0.0136323853631492,0.0136323853631492,0.000236496561817705
"12-08233-PNBL",0.989976993807494,0.0100230061925058,0.0100230061925058,0.000109394606780313
"12-08235-PNBL",0.989313190384831,0.0106868096151693,0.0106868096151693,0.00013041342044262
"12-08289-PNBL",0.0430391513213133,0.956960848678687,0.0430391513213133,0.00208803549812037
"12-08311-PNBL",0.903080279451446,0.0969197205485536,0.0969197205485536,0.0131552315391103
"12-08324-PNBL",0.98124612116521,0.0187538788347903,0.0187538788347903,0.000435270348412405
"12-08360-PNBL",0.066351646713155,0.933648353286845,0.066351646713155,0.00594687677450892
"12-08363-PNBL",0.988739471823272,0.0112605281767282,0.0112605281767282,0.000142644454505876
"12-08400-PNBL",0.989718134058923,0.0102818659410768,0.0102818659410768,0.000115523965418969
"12-08419-PNBL",0.983850881641875,0.0161491183581246,0.0161491183581246,0.000350582545306033
"12-08504-PNBL",0.988920158525188,0.0110798414748122,0.0110798414748122,0.000139442436597189
"12-08548-PNBL",0.0771983524913937,0.922801647508606,0.0771983524913937,0.0078385919303954
"12-08626-PNBL",0.952347493108152,0.0476525068918478,0.0476525068918478,0.00406043671148614
"12-08642-PNBL",0.237727159806128,0.762272840193872,0.762272840193872,0.590628856032397
"12-08652-PNBL",0.977916537272011,0.0220834627279886,0.0220834627279886,0.000549111515858405
"12-08664-PNBL",0.989109754269473,0.0108902457305267,0.0108902457305267,0.000128823816034604
"12-08880-PNBL",0.986282201518944,0.0137177984810564,0.0137177984810564,0.00024843874541052
"12-08897-PNBL",0.989430499593674,0.0105695004063261,0.0105695004063261,0.000122247027495816
"12-08909-PNBL",0.786384119256907,0.213615880743093,0.213615880743093,0.0519340122725614
"12-08966-PNBL",0.961262836128684,0.0387371638713164,0.0387371638713164,0.00186384232121837
"12-09012-PNBL",0.650795082626995,0.349204917373005,0.349204917373005,0.136678793045109
"12-09049-PNBL",0.956143266269455,0.0438567337305455,0.0438567337305455,0.00345858057950322
"12-09082-PNBL",0.988573741209161,0.0114262587908387,0.0114262587908387,0.00014648238182508
"12-09085-PNBL",0.988571201071033,0.0114287989289666,0.0114287989289666,0.000157317582168267
"12-09102-PNBL",0.983856803231902,0.0161431967680979,0.0161431967680979,0.000360662792435708
"12-09121-PNBL",0.989311915333914,0.0106880846660857,0.0106880846660857,0.000125332320187611
"12-09142-PNBL",0.988598241216321,0.0114017587836791,0.0114017587836791,0.0001421985171795
"12-09143-PNBL",0.985851752973379,0.0141482470266205,0.0141482470266205,0.000284140829202736
"12-09181-PNBL",0.0487402912786371,0.951259708721363,0.951259708721363,0.905442313038388
"12-09190-PNBL",0.988356395956845,0.0116436040431546,0.0116436040431546,0.000150905973397727
"12-09191-PNBL",0.989077486208487,0.0109225137915131,0.0109225137915131,0.00013311280579956
"12-09247-PNBL",0.922528345659743,0.0774716543402572,0.0774716543402572,0.00784071063767977
"12-09295-PNBL",0.989860104641368,0.0101398953586318,0.0101398953586318,0.000120164892783431
"12-09332-PNBL",0.509096233673075,0.490903766326925,0.490903766326925,0.252872717241235
"12-09429-PNBL",0.770106142313735,0.229893857686265,0.229893857686265,0.0651909353330858
"12-09431-PNBL",0.989522289617732,0.0104777103822682,0.0104777103822682,0.000120789676241092
"12-09447-PNBL",0.531820506100582,0.468179493899418,0.468179493899418,0.225621124474015
"12-09498-PNBL",0.985613778883941,0.0143862211160591,0.0143862211160591,0.000290960555023628
"12-09503-PNBL",0.989375588141766,0.0106244118582345,0.0106244118582345,0.000123060780849756
"12-09514-PNBL",0.988203708645173,0.0117962913548274,0.0117962913548274,0.000160867188578373
"12-09526-PNBL",0.98853674091569,0.0114632590843096,0.0114632590843096,0.000146401274256879
"12-09557-PNBL",0.982394695417609,0.0176053045823907,0.0176053045823907,0.000619698515030927
"12-09624-PNBL",0.988915109666409,0.0110848903335907,0.0110848903335907,0.000136759186169287
"12-09646-PNBL",0.974122368394397,0.0258776316056034,0.0258776316056034,0.000906179647479312
"12-09710-PNBL",0.955966117331727,0.0440338826682732,0.0440338826682732,0.00297537085544855
"12-09743-PNBL",0.989380704343073,0.0106192956569272,0.0106192956569272,0.00012887927004969
"12-09756-PNBL",0.976756129578919,0.0232438704210812,0.0232438704210812,0.000906714922124993
"12-09757-PNBL",0.988120644550661,0.0118793554493387,0.0118793554493387,0.000172104243413327
"12-09766-PNBL",0.977617973089125,0.0223820269108749,0.0223820269108749,0.000783568808826509
"12-09858-PNBL",0.988679711701924,0.0113202882980758,0.0113202882980758,0.00014275644312246
"12-09865-PNBL",0.9893751871481,0.0106248128519005,0.0106248128519005,0.000123083395454889
"12-09884-PNBL",0.938585589769097,0.0614144102309026,0.0614144102309026,0.00477495446146754
"12-09898-PNBL",0.741406684195239,0.258593315804761,0.741406684195239,0.564624150317601
"12-09926-PNBL",0.641771549167686,0.358228450832314,0.358228450832314,0.139759908151426
"12-09935-PNBL",0.862215491745093,0.137784508254907,0.137784508254907,0.0243094888504418
"12-09943-PNBL",0.355912971083328,0.644087028916672,0.355912971083328,0.143975916837897
"12-09944-PNBL",0.987451259075139,0.0125487409248608,0.0125487409248608,0.000176265843996563
"12-10003-PNBL",0.986904839225526,0.0130951607744743,0.0130951607744743,0.000202991078647839
"12-10031-PNBL",0.608638509443869,0.391361490556131,0.608638509443869,0.390666598938012
"12-10033-PNBL",0.322921295836038,0.677078704163962,0.677078704163962,0.489270482681872
"12-10071-PNBL",0.978045595796089,0.0219544042039112,0.0219544042039112,0.000823482453252005
"12-10113-PNBL",0.599683030960174,0.400316969039826,0.400316969039826,0.171668715633778
"12-10129-PNBL",0.987814090933067,0.0121859090669326,0.0121859090669326,0.000177932866004434
"12-10132-PNBL",0.102250631556577,0.897749368443423,0.897749368443423,0.810213940289717
"12-10149-PNBL",0.989825545970529,0.0101744540294706,0.0101744540294706,0.00011280355372979
"12-10171-PNBL",0.978354246575583,0.0216457534244173,0.0216457534244173,0.000873158841078737
"12-10175-PNBL",0.55292567380115,0.44707432619885,0.44707432619885,0.209059805088762
"12-10198-PNBL",0.986584667678709,0.0134153323212915,0.0134153323212915,0.00023314245213557
"12-10232-PNBL",0.781004855355161,0.218995144644839,0.218995144644839,0.0546822006365125
"12-10262-PNBL",0.783591984800013,0.216408015199987,0.216408015199987,0.0579709742148261
"12-10264-PNBL",0.949268667711194,0.0507313322888059,0.0507313322888059,0.00399120571572971
"12-10277-PNBL",0.0893937621887045,0.910606237811295,0.910606237811295,0.830084794464561
"12-10280-PNBL",0.869824966744947,0.130175033255053,0.869824966744947,0.762581134935727
"12-10400-PNBL",0.067273229246998,0.932726770753002,0.067273229246998,0.00585897830999511
"12-10402-PNBL",0.988773384257053,0.0112266157429473,0.0112266157429473,0.000152416020673649
"12-10406-PNBL",0.974709892977244,0.0252901070227562,0.0252901070227562,0.000863307078782444
"12-10417-PNBL",0.988092656394423,0.0119073436055767,0.0119073436055767,0.000193027613545896
"12-10428-PNBL",0.929998846630085,0.070001153369915,0.070001153369915,0.0073282568690787
"12-10450-PNBL",0.0600637376517445,0.939936262348255,0.0600637376517445,0.00434580084545315
"12-10458-PNBL",0.982847274631049,0.017152725368951,0.017152725368951,0.000351304088612512
"12-10482-PNBL",0.610892724999591,0.389107275000409,0.389107275000409,0.16851343440732
"12-10495-PNBL",0.97174461546942,0.0282553845305797,0.0282553845305797,0.00122783549906515
"12-10598-PNBL",0.703903104475083,0.296096895524917,0.296096895524917,0.0943271978325963
"12-10655-PNBL",0.988817143482846,0.0111828565171544,0.0111828565171544,0.000138903773834215
"12-10672-PNBL",0.98187835610724,0.01812164389276,0.01812164389276,0.000558927207562676
"12-10708-PNBL",0.985130391895185,0.0148696081048153,0.0148696081048153,0.000310977815331968
"12-10834-PNBL",0.987314738121676,0.0126852618783239,0.0126852618783239,0.000221348503854338
"12-10848-PNBL",0.988938776580497,0.0110612234195032,0.0110612234195032,0.000134983811678212
"12-10859-PNBL",0.979262338302753,0.0207376616972467,0.0207376616972467,0.000657635192846691
"12-10866-PNBL",0.235371384188208,0.764628615811792,0.235371384188208,0.0667806275012898
"12-10898-PNBL",0.862986290922019,0.137013709077981,0.137013709077981,0.0220216633141705
"12-10952-PNBL",0.982905787764118,0.0170942122358817,0.0170942122358817,0.00043392167536933
"12-10981-PNBL",0.978618026771989,0.0213819732280108,0.0213819732280108,0.000603731815703754
"12-11000-PNBL",0.988345727280325,0.0116542727196749,0.0116542727196749,0.000164328526321279
"12-11097-PNBL",0.988760916225355,0.0112390837746454,0.0112390837746454,0.000142085761851851
"12-11103-PNBL",0.9883140395463,0.0116859604537001,0.0116859604537001,0.000156953842290951
"12-11105-PNBL",0.965457296663418,0.0345427033365824,0.0345427033365824,0.00164801138576826
"12-11106-PNBL",0.103497073273146,0.896502926726854,0.103497073273146,0.0128505944687955
"12-11151-PNBL",0.958864054171914,0.0411359458280858,0.0411359458280858,0.00252983459817488
"12-11317-PNBL",0.109802072455374,0.890197927544626,0.109802072455374,0.0155683325291675
"12-11326-PNBL",0.989958233089332,0.0100417669106676,0.0100417669106676,0.00011075307682203
"12-11328-PNBL",0.926107167294533,0.0738928327054668,0.0738928327054668,0.00760679177845379
"12-11372-PNBL",0.941643066635757,0.0583569333642425,0.0583569333642425,0.00478194213840948
"12-11431-PNBL",0.989649720491026,0.0103502795089737,0.0103502795089737,0.000116280219548292
"12-11477-PNBL",0.122629747456264,0.877370252543736,0.122629747456264,0.0198470807217089
"12-11503-PNBL",0.268927875324245,0.731072124675755,0.731072124675755,0.547076811937541
"12-11530-PNBL",0.989587164507024,0.0104128354929759,0.0104128354929759,0.000120581563693212
"12-11538-PNBL",0.144251294243075,0.855748705756925,0.144251294243075,0.0253392091479057
"12-11578-PNBL",0.986035767170013,0.0139642328299872,0.0139642328299872,0.000267812708741099
"12-11689-PNBL",0.986273370315209,0.0137266296847905,0.0137266296847905,0.000211478482731756
"12-11695-PNBL",0.801483037732773,0.198516962267227,0.198516962267227,0.0438739433713529
"12-11710-PNBL",0.989185614884537,0.0108143851154628,0.0108143851154628,0.000127464861153572
"12-11748-PNBL",0.057469811938705,0.942530188061295,0.057469811938705,0.004138322903848
"12-11775-PNBL",0.972789475207809,0.0272105247921914,0.0272105247921914,0.00117732840242735
