census_geoid,census_mortgage_status_001_total_per,census_race_010_two_races_excluding_some_other_race_and_three_or_more_races,census_race_005_asian_alone_per,census_race_006_native_hawaiian_and_other_pacific_islander_alone,census_race_007_some_other_race_alone,census_mortgage_status_002_housing_units_with_a_mortgage_contract_to_purchase_or_similar_debt,census_name,census_race_004_american_indian_and_alaska_native_alone_per,census_race_006_native_hawaiian_and_other_pacific_islander_alone_per,census_mortgage_status_007_no_second_mortgage_and_no_home_equity_loan_per,census_mortgage_status_008_housing_units_without_a_mortgage_per,census_mortgage_status_006_both_second_mortgage_and_home_equity_loan,census_race_010_two_races_excluding_some_other_race_and_three_or_more_races_per,census_median_contract_001_median_contract_rent,census_race_003_black_or_african_american_alone,census_race_008_two_or_more_races_per,census_mortgage_status_007_no_second_mortgage_and_no_home_equity_loan,census_race_008_two_or_more_races,census_race_009_two_races_including_some_other_race,census_mortgage_status_003_with_either_a_second_mortgage_or_home_equity_loan_but_not_both_per,census_race_001_total_per,census_mortgage_status_001_total,census_race_001_total,census_mortgage_status_002_housing_units_with_a_mortgage_contract_to_purchase_or_similar_debt_per,census_median_contract_001_median_contract_rent_per,census_race_005_asian_alone,census_mortgage_status_005_home_equity_loan_only_per,census_race_003_black_or_african_american_alone_per,census_mortgage_status_006_both_second_mortgage_and_home_equity_loan_per,census_mortgage_status_004_second_mortgage_only,census_race_004_american_indian_and_alaska_native_alone,census_race_007_some_other_race_alone_per,census_race_002_white_alone_per,census_race_002_white_alone,census_mortgage_status_004_second_mortgage_only_per,census_mortgage_status_008_housing_units_without_a_mortgage,census_mortgage_status_005_home_equity_loan_only,census_population_001_total,census_race_009_two_races_including_some_other_race_per,census_mortgage_status_003_with_either_a_second_mortgage_or_home_equity_loan_but_not_both
14000US22071000100,0.2835633626097867,65.0,0,0.0,111.0,485.0,"Census Tract 1, Orleans, LA",0,0,0.16813048933500627,0.0807193642827269,0.0,0.027185278126306986,841.0,408.0,0.027185278126306986,402.0,65.0,0.0,0.034713508992053534,1.0,678.0,2391.0,0.20284399832705982,0.35173567544960266,0.0,0.02132998745294856,0.17063989962358847,0,32.0,0.0,0.04642409033877039,0.7557507319113341,1807.0,0.013383521539104977,193.0,51.0,2391.0,0,83.0
14000US22071000200,0.142974527526705,17.0,0,0.0,0.0,110.0,"Census Tract 2, Orleans, LA",0,0,0.08052588331963846,0.05258833196384552,0.0,0.013968775677896467,805.0,977.0,0.013968775677896467,98.0,17.0,0.0,0.009860312243221035,1.0,174.0,1217.0,0.09038619556285948,0.6614626129827444,0.0,0.0049301561216105174,0.8027937551355793,0,6.0,0.0,0,0.18323746918652423,223.0,0.0049301561216105174,64.0,6.0,1217.0,0,12.0
14000US22071000300,0.17344398340248962,0.0,0,0.0,4.0,112.0,"Census Tract 3, Orleans, LA",0,0,0.07966804979253111,0.08049792531120332,0.0,0,515.0,1100.0,0,96.0,0.0,0.0,0.013278008298755186,1.0,209.0,1205.0,0.09294605809128631,0.42738589211618255,0.0,0,0.9128630705394191,0,16.0,0.0,0.0033195020746887966,0.08381742738589211,101.0,0.013278008298755186,97.0,0.0,1205.0,0,16.0
14000US22071000400,0.19981875849569553,83.0,0,0.0,0.0,312.0,"Census Tract 4, Orleans, LA",0,0,0.11327594019030358,0.05845038513819665,0.0,0.037607612143180785,837.0,1826.0,0.037607612143180785,250.0,83.0,0.0,0.02809243316719529,1.0,441.0,2207.0,0.14136837335749886,0.3792478477571364,0.0,0.0095151789759855,0.8273674671499773,0,41.0,0.0,0,0.13502492070684186,298.0,0.018577254191209785,129.0,21.0,2207.0,0,62.0
14000US22071000601,0.06402048655569782,0.0,0,0.0,0.0,22.0,"Census Tract 6.01, Orleans, LA",0,0,0.028169014084507043,0.03585147247119078,0.0,0,307.0,781.0,0,22.0,0.0,0.0,0,1.0,50.0,781.0,0.028169014084507043,0.39308578745198464,0.0,0,1.0,0,0.0,0.0,0,0,0.0,0,28.0,0.0,781.0,0,0.0
14000US22071000602,0.18652685096917698,0.0,0.0022243406418811567,0.0,0.0,314.0,"Census Tract 6.02, Orleans, LA",0.0015888147442008262,0,0.08547823323800445,0.08674928503336511,0.0,0,640.0,2960.0,0,269.0,0.0,0.0,0.014299332697807437,1.0,587.0,3147.0,0.09977756593581188,0.20336828725770575,7.0,0.0076263107721639654,0.940578328566889,0,21.0,5.0,0,0.05560851604702892,175.0,0.00667302192564347,273.0,24.0,3147.0,0,45.0
14000US22071000603,0.09626038781163435,28.0,0.0443213296398892,0.0,413.0,70.0,"Census Tract 6.03, Orleans, LA",0,0,0.04016620498614958,0.04778393351800554,0.0,0.019390581717451522,876.0,831.0,0.019390581717451522,58.0,28.0,0.0,0.008310249307479225,1.0,139.0,1444.0,0.04847645429362881,0.6066481994459834,64.0,0.008310249307479225,0.5754847645429363,0,0.0,0.0,0.28601108033240996,0.07479224376731301,108.0,0,69.0,12.0,1444.0,0,12.0
14000US22071000604,0.16517392209956258,35.0,0.009581337221412205,0.0,103.0,556.0,"Census Tract 6.04, Orleans, LA",0,0,0.11351801707977505,0.04936471568423245,0.0,0.007290147885857113,782.0,4097.0,0.007290147885857113,545.0,35.0,0.0,0.0022911893355550927,1.0,793.0,4801.0,0.11580920641533014,0.1628827327640075,46.0,0.0022911893355550927,0.853363882524474,0,0.0,0.0,0.021453863778379503,0.10831076858987711,520.0,0,237.0,11.0,4801.0,0,11.0
14000US22071000605,0.20051303976058144,14.0,0.0012825994014536127,0.0,25.0,212.0,"Census Tract 6.05, Orleans, LA",0,0,0.08849935870029928,0.10987601539119282,0.0,0.005985463873450192,694.0,1418.0,0.005985463873450192,207.0,14.0,0.0,0.0021376656690893546,1.0,469.0,2339.0,0.09063702436938863,0.2967079948696024,3.0,0,0.6062419837537409,0,5.0,0.0,0.010688328345446772,0.3758016246259085,879.0,0.0021376656690893546,257.0,0.0,2339.0,0,5.0
14000US22071000606,0.32986832986832987,74.0,0.03026103026103026,53.0,1.0,1021.0,"Census Tract 6.06, Orleans, LA",0.005082005082005082,0.012243012243012243,0.20166320166320167,0.09401709401709402,0.0,0.017094017094017096,1190.0,2159.0,0.017094017094017096,873.0,74.0,0.0,0.03418803418803419,1.0,1428.0,4329.0,0.23585123585123585,0.2748902748902749,131.0,0.02587202587202587,0.49872949872949873,0,36.0,22.0,0.000231000231000231,0.43635943635943636,1889.0,0.008316008316008316,407.0,112.0,4329.0,0,148.0
