"geoid","census_mortgage_status_001_total_per","census_race_010_two_races_excluding_some_other_race_and_three_or_more_races","census_race_005_asian_alone_per","census_race_006_native_hawaiian_and_other_pacific_islander_alone","census_race_007_some_other_race_alone","census_mortgage_status_002_housing_units_with_a_mortgage_contract_to_purchase_or_similar_debt","census_name","census_race_004_american_indian_and_alaska_native_alone_per","census_race_006_native_hawaiian_and_other_pacific_islander_alone_per","census_mortgage_status_007_no_second_mortgage_and_no_home_equity_loan_per","census_mortgage_status_008_housing_units_without_a_mortgage_per","census_mortgage_status_006_both_second_mortgage_and_home_equity_loan","census_race_010_two_races_excluding_some_other_race_and_three_or_more_races_per","census_race_003_black_or_african_american_alone","census_race_008_two_or_more_races_per","census_mortgage_status_007_no_second_mortgage_and_no_home_equity_loan","census_race_008_two_or_more_races","census_race_009_two_races_including_some_other_race","census_mortgage_status_003_with_either_a_second_mortgage_or_home_equity_loan_but_not_both_per","census_race_001_total_per","census_mortgage_status_001_total","census_race_001_total","census_mortgage_status_002_housing_units_with_a_mortgage_contract_to_purchase_or_similar_debt_per","census_median_contract_001_median_contract_rent_per","census_race_005_asian_alone","census_mortgage_status_005_home_equity_loan_only_per","census_race_003_black_or_african_american_alone_per","census_mortgage_status_006_both_second_mortgage_and_home_equity_loan_per","census_mortgage_status_004_second_mortgage_only","census_race_004_american_indian_and_alaska_native_alone","census_race_007_some_other_race_alone_per","census_race_002_white_alone_per","census_race_002_white_alone","census_mortgage_status_004_second_mortgage_only_per","census_mortgage_status_008_housing_units_without_a_mortgage","census_mortgage_status_005_home_equity_loan_only","census_race_009_two_races_including_some_other_race_per","census_mortgage_status_003_with_either_a_second_mortgage_or_home_equity_loan_but_not_both","median_rent","population","case_number","longitude","latitude","councildis","precinctid","reviewer","hearing_date","location","mva_cluster","mva_code","hdlc","ncdc","ncdc_adjusted","vacant_lot","vacant_lot_code","market_assessment","market_code","roof","roof_code","exterior","exterior_code","foundation","foundation_code","overall_condition","overall_condition_code","character","character_code","abatement_recommendation","recommendation_code","reviewer_notes","zipcode","geopin","xpos","ypos","potential_error_in_lot_status","potential_error_in_market_status","vacant_lot_revised_code"
"14000US22071010800",0.295180722891566,0,0,0,0,334,"Census Tract 108, Orleans, LA",0.0207496653279786,0,0.13186077643909,0.071619812583668,0,0,17,0,197,0,0,0.0917001338688086,1,441,1494,0.223560910307898,0.651271753681392,0,0.0816599732262383,0.0113788487282463,0,15,31,0,0.967871485943775,1446,0.0100401606425703,107,122,0,137,973,1494,"12-10264-PNBL",-90.1122531658561,29.9219055760593,"B","13-6","Demo",2013-10-15,"1019-1021 Valmont St","A",1,0,1,1,0,0,"Very Strong",1,"Fair",2,"Fair",2,"Fair",2,"Fair",2,NA,NA,"sell",1,"",70115,41051449,3667639.47,519153.5844,"0","0",0
"14000US22071007700",0.206349206349206,128,0.0138380138380138,0,11,382,"Census Tract 77, Orleans, LA",0,0,0.117216117216117,0.0508750508750509,0,0.0520960520960521,507,0.0541310541310541,288,133,5,0.0382580382580383,1,507,2457,0.155474155474155,0.496133496133496,34,0.00732600732600733,0.206349206349206,0,76,0,0.00447700447700448,0.721204721204721,1772,0.0309320309320309,125,18,0.00203500203500203,94,1219,2457,"13-01000-PNBL",-90.0699565682859,29.9327271918563,"B","1-1","Demo",2013-07-22,"824 Orange St","B",2,1,1,0,NA,NA,"Very Strong",1,"Poor",3,"Poor",3,"Poor",3,"Very Poor",4,1,1,"demolish",0,"",70130,41142784,3680994,523233.9581,"0","0",NA
"14000US22071010700",0.267879548306148,0,0.0288582183186951,0,18,253,"Census Tract 107, Orleans, LA",0,0,0.110414052697616,0.109159347553325,0,0,246,0,176,0,0,0.048306148055207,1,427,1594,0.158720200752823,0.51129234629862,46,0.0370138017565872,0.154328732747804,0,18,0,0.0112923462986198,0.805520702634881,1284,0.0112923462986198,174,59,0,77,815,1594,"13-01171-PNBL",-90.1081781773359,29.9219990069462,"B","13-4","DG",2013-10-28,"1032 Upperline St","A",1,0,1,1,0,0,"Very Strong",1,"Poor",3,"Poor",3,"Poor",3,"Poor",3,1,1,"sell",1,"",70115,41054092,3668929.907,519201.3378,"0","0",0
"14000US22071009000",0.310288513881328,73,0.035383777898748,0,12,337,"Census Tract 90, Orleans, LA",0.00707675557974959,0,0.132280892759935,0.126837234621666,0,0.0397387044093631,54,0.0397387044093631,243,73,0,0.0511703864997278,1,570,1837,0.183451279259662,0.457811649428416,65,0.0511703864997278,0.0293957539466521,0,0,13,0.0065323897659227,0.881872618399565,1620,0,233,94,0,94,841,1837,"13-07645-MPM",-90.0871974556323,29.9255348256689,"B","11-5","Demo",2013-10-22,"1227-29 Harmony St\1227-29 9th St","A",1,1,1,0,0,0,"Very Strong",1,"Good",1,"Poor",3,"Poor",3,"Fair",2,1,1,"sell",1,"A new case has been started.#14-00970-MPM
There are unpaid Fees.A new case has been started.#14-00970-MPM
There are unpaid Fees.A new case has been started.#14-00970-MPM
There are unpaid Fees.A new case has been started.#14-00970-MPM
There are unpaid Fees.A new case has been started.#14-00970-MPM
There are unpaid Fees.A new case has been started.#14-00970-MPM
There are unpaid Fees.A new case has been started.#14-00970-MPM
There are unpaid Fees.A new case has been started.#14-00970-MPM
There are unpaid Fees.A new case has been started.#14-00970-MPM
There are unpaid Fees.A new case has been started.#14-00970-MPM
There are unpaid Fees.A new case has been started.#14-00970-MPM
There are unpaid Fees.A new case has been started.#14-00970-MPM
There are unpaid Fees.A new case has been started.#14-00970-MPM
There are unpaid Fees.A new case has been started.#14-00970-MPM
There are unpaid Fees.A new case has been started.#14-00970-MPM
There are unpaid Fees.A new case has been started.#14-00970-MPM
There are unpaid Fees.A new case has been started.#14-00970-MPM
There are unpaid Fees.A new case has been started.#14-00970-MPM
There are unpaid Fees.A new case has been started.#14-00970-MPM
There are unpaid Fees.A new case has been started.#14-00970-MPM
There are unpaid Fees.A new case has been started.#14-00970-MPM
There are unpaid Fees.A new case has been started.#14-00970-MPM
There are unpaid Fees.A new case has been started.#14-00970-MPM
There are unpaid Fees.A new case has been started.#14-00970-MPM
There are unpaid Fees.A new case has been started.#14-00970-MPM
There are unpaid Fees.A new case has been started.#14-00970-MPM
There are unpaid Fees.A new case has been started.#14-00970-MPM
There are unpaid Fees.A new case has been started.#14-00970-MPM
There are unpaid Fees.A new case has been started.#14-00970-MPM
There are unpaid Fees.",70115,41041302,3675561.799,520558.7561,"0","0",0
"14000US22071009900",0.167916530811868,24,0.0286925334202804,3,39,375,"Census Tract 99, Orleans, LA",0,0.00097815454841865,0.0886860123899576,0.045647212259537,0,0.0078252363873492,347,0.0110857515487447,272,34,10,0.0335833061623737,1,515,3067,0.122269318552331,0.299967394848386,88,0.0313009455493968,0.113139876100424,0,7,0,0.0127160091294425,0.83338767525269,2556,0.00228236061297685,140,96,0.0032605151613955,103,920,3067,"13-06111-PNBL",-90.0974130537106,29.9251648687094,"B","12-7","Demo",2013-10-10,"4000-4004 Prytania St","A",1,0,1,1,0,0,"Very Strong",1,"Good",1,"Poor",3,"Good",1,"Fair",2,0,0,"sell",1,"This dwelling might be occupied.",70115,41046218,3672327.463,520389.1804,"0","0",0
"14000US22071010700",0.267879548306148,0,0.0288582183186951,0,18,253,"Census Tract 107, Orleans, LA",0,0,0.110414052697616,0.109159347553325,0,0,246,0,176,0,0,0.048306148055207,1,427,1594,0.158720200752823,0.51129234629862,46,0.0370138017565872,0.154328732747804,0,18,0,0.0112923462986198,0.805520702634881,1284,0.0112923462986198,174,59,0,77,815,1594,"12-11870-PNBL",-90.1082261390252,29.9215701371521,"B","13-4","Demo",2013-09-09,"4907-4909 Camp St","A",1,0,1,1,NA,NA,"Moderately Strong",2,"Fair",2,"Fair",2,"Fair",2,"Fair",2,1,1,"sell",1,"",70115,41051453,3668916.382,519045.2226,"0","0",NA
"14000US22071010800",0.295180722891566,0,0,0,0,334,"Census Tract 108, Orleans, LA",0.0207496653279786,0,0.13186077643909,0.071619812583668,0,0,17,0,197,0,0,0.0917001338688086,1,441,1494,0.223560910307898,0.651271753681392,0,0.0816599732262383,0.0113788487282463,0,15,31,0,0.967871485943775,1446,0.0100401606425703,107,122,0,137,973,1494,"12-11920-PNBL",-90.1110976253302,29.9230742420485,"B","13-4","JN",2013-07-29,"5204-5206 Coliseum St","A",1,0,1,1,NA,NA,"Very Strong",1,"Good",1,"Good",1,"Good",1,"Good",1,1,1,"sell",1,"",70115,41054492,3668000.968,519582.4568,"0","0",NA
"14000US22071010900",0.219519343493552,0,0.00849941383352872,0,12,435,"Census Tract 109, Orleans, LA",0.0439624853458382,0,0.108147713950762,0.0920281359906213,0,0,1428,0,369,0,0,0.0193434935521688,1,749,3412,0.127491207502931,0.259671746776084,29,0.00586166471277843,0.41852286049238,0,46,150,0.00351699882766706,0.525498241500586,1793,0.0134818288393904,314,20,0,66,886,3412,"13-01106-PNBL",-90.1108425166481,29.9299629998599,"B","13-10","AW",2013-10-21,"5212-5214 Danneel St","A",1,0,1,1,0,0,"Very Strong",1,"Good",1,"Good",1,"Good",1,"Good",1,1,1,"sell",1,"Occp.",70115,41057739,3668055.05,522088.3256,"0","0",0
"14000US22071010600",0.225552050473186,67,0,0,0,203,"Census Tract 106, Orleans, LA",0,0,0.1198738170347,0.0654574132492114,0,0.0528391167192429,469,0.0528391167192429,152,67,0,0.0402208201892744,1,286,1268,0.160094637223975,0.668769716088328,0,0.0402208201892744,0.3698738170347,0,0,0,0,0.577287066246057,732,0,83,51,0,51,848,1268,"12-10428-PNBL",-90.1115244226082,29.9196027671956,"B","13-4","Demo",2013-09-16,"5219 Constance St","A",1,0,1,1,NA,NA,"Very Strong",1,"Fair",2,"Poor",3,"Fair",2,"Fair",2,1,1,"sell",1,"vacant lot",70115,41054625,3667879.237,518318.6593,"0","0",NA
"14000US22071010600",0.225552050473186,67,0,0,0,203,"Census Tract 106, Orleans, LA",0,0,0.1198738170347,0.0654574132492114,0,0.0528391167192429,469,0.0528391167192429,152,67,0,0.0402208201892744,1,286,1268,0.160094637223975,0.668769716088328,0,0.0402208201892744,0.3698738170347,0,0,0,0,0.577287066246057,732,0,83,51,0,51,848,1268,"13-05035-PNBL",-90.1137412660167,29.9193755482057,"B","13-6","JN",2013-09-12,"5328-30 Constance St","A",1,0,1,1,NA,NA,"Very Strong",1,"Poor",3,"Fair",2,"Fair",2,"Fair",2,NA,NA,"sell",1,"",70115,41054633,3667177.889,518228.5531,"0","0",NA
