"precinctid","p_sell","p_demolish","error","variance"
"1-1",0.948072398277741,0.0519276017222593,0.490981209682747,0.443772151637324
"1-2",0.971345310201872,0.0286546897981277,0.0286546897981277,0.00134614340052808
"1-6",0.52078844069525,0.47921155930475,0.0348944159068068,0.00240706088240023
"10-12",0.373280693952912,0.626719306047088,0.055793154246807,0.00499369050646708
"10-13",0.416792391756493,0.583207608243507,0.0957369883600882,0.0183217686259291
"10-14",0.0617437277404525,0.938256272259548,0.0617437277404525,0.00458188720853061
"10-6",0.956999245884712,0.0430007541152884,0.0430007541152884,0.00288874510788062
"10-8",0.981116037625466,0.0188839623745344,0.0188839623745344,0.000450098675902161
"11-10",0.813440141760686,0.186559858239314,0.813440141760686,0.669858255943424
"11-11",0.0414806828584428,0.958519317141557,0.0414806828584428,0.00189187230172174
"11-14",0.0511531847960344,0.948846815203966,0.0511531847960344,0.00326876938830124
"11-17",0.718775380960938,0.281224619039062,0.718775380960938,0.530211781912252
"11-3",0.990360977386621,0.00963902261337908,0.00963902261337908,0.000100760164670161
"11-5",0.93322831393017,0.0667716860698301,0.0667716860698301,0.00619442001123632
"12-11",0.5380320500847,0.4619679499153,0.0498337141724695,0.00484868682564346
"12-14",0.522005059434378,0.477994940565622,0.0853219306893809,0.0102439497874193
"12-16",0.0670514253431048,0.932948574656895,0.0670514253431048,0.00556085309792796
"12-17",0.0503500254100621,0.949649974589938,0.0503500254100621,0.00300382291756643
"12-19",0.071444650042954,0.928555349957046,0.340081658049245,0.276034761726097
"12-2",0.973841158254855,0.0261588417451448,0.0261588417451448,0.00148604950381155
"12-3",0.919734747897329,0.080265252102671,0.080265252102671,0.00924964592505221
"12-7",0.585877836573181,0.414122163426819,0.414122163426819,0.1883288284863
"12-9",0.979573630542638,0.020426369457362,0.020426369457362,0.000799727084604212
"13-10",0.988047776245668,0.0119522237543324,0.0119522237543324,0.000161894891496756
"13-11",0.966597390653345,0.0334026093466549,0.0334026093466549,0.00150470036967324
"13-14",0.956143266269455,0.0438567337305455,0.0438567337305455,0.00345858057950322
"13-16",0.983856234762391,0.0161437652376087,0.0161437652376087,0.000398680147005892
"13-4",0.921988293589274,0.0780117064107262,0.257085073207335,0.193923886057405
"13-6",0.918159566617912,0.0818404333820883,0.0818404333820883,0.011933986999003
"14-10",0.908455398154618,0.0915446018453824,0.0915446018453824,0.0120393045725688
"14-23",0.623388764202186,0.376611235797814,0.376611235797814,0.147087163258963
"14-24A",0.144251294243075,0.855748705756925,0.144251294243075,0.0253392091479057
"14-26",0.944942725824732,0.0550572741752676,0.0550572741752676,0.0195391354627598
"15-10",0.692977075770196,0.307022924229804,0.0821952514209852,0.0116114392978836
"15-12",0.456650007589011,0.543349992410989,0.169795156163696,0.0357497214234552
"15-12A",0.415781871880839,0.584218128119161,0.0933850214886505,0.0219012231901229
"15-13",0.433089001259315,0.566910998740685,0.140669250395488,0.0319930205786902
"15-13A",0.532907471238946,0.467092528761054,0.467092528761054,0.410586991306694
"15-13B",0.214744828288784,0.785255171711216,0.214744828288784,0.0535652848726866
"15-14",0.968511819270868,0.0314881807291315,0.0314881807291315,0.00177218078762799
"15-14E",0.554553860484708,0.445446139515292,0.0738665336790197,0.0115146346474793
"15-15",0.683405392483149,0.316594607516851,0.0788044268569339,0.0139460765036265
"15-16",0.711090637549149,0.288909362450851,0.105309314773864,0.0212894189677537
"15-17",0.973306156167289,0.026693843832711,0.026693843832711,0.00122780507499703
"15-18",0.801483037732773,0.198516962267227,0.198516962267227,0.0438739433713529
"15-18C",0.98300581169724,0.0169941883027603,0.0169941883027603,0.000368382317334205
"15-18D",0.665586907131473,0.334413092868527,0.0956341064240487,0.0162539971963934
"15-18E",0.983940539170392,0.0160594608296075,0.0160594608296075,0.000333560446658619
"15-18F",0.771816691574621,0.228183308425379,0.228183308425379,0.100916208050772
"15-19",0.950875655230433,0.049124344769567,0.369858225120511,0.32485026126416
"15-19B",0.986531316774207,0.0134686832257934,0.0134686832257934,0.000220417259179391
"15-19C",0.519904181928079,0.480095818071921,0.301685960784577,0.178416543712727
"15-5",0.988000783171726,0.0119992168282737,0.0119992168282737,0.000178719078077916
"15-6",0.916142918674106,0.083857081325894,0.183646569103792,0.116222543842766
"15-8",0.456215742998389,0.543784257001611,0.456215742998389,0.220016330648951
"15-9",0.0653309003693292,0.934669099630671,0.0653309003693292,0.00585500698471889
"16-2",0.956742547945374,0.0432574520546263,0.0432574520546263,0.0030130232546717
"16-4",0.531820506100582,0.468179493899418,0.468179493899418,0.225621124474015
"16-6",0.445742940542093,0.554257059457907,0.445742940542093,0.21209267103303
"16-7",0.922528345659743,0.0774716543402572,0.0774716543402572,0.00784071063767977
"16-9",0.675298074595202,0.324701925404798,0.127605930759411,0.0861136771371817
"17-1",0.970744884748471,0.0292551152515293,0.0292551152515293,0.00117671821003134
"17-10",0.981982079837656,0.0180179201623437,0.0180179201623437,0.000394314357849749
"17-11",0.0544787883351959,0.945521211664804,0.0544787883351959,0.00358257419973114
"17-12",0.987757565270621,0.0122424347293788,0.0122424347293788,0.000207805244319592
"17-13A",0.535913115151167,0.464086884848833,0.0305997839328629,0.00157575163555228
"17-14",0.987333330737726,0.0126666692622743,0.0126666692622743,0.000201697560957438
"17-15",0.539822130441272,0.460177869558728,0.0628032869750248,0.00700907221710441
"17-16",0.601560721847769,0.398439278152231,0.17759600184929,0.0925408137734285
"17-19",0.912173420603768,0.0878265793962321,0.0878265793962321,0.017847768231524
"17-20",0.98187835610724,0.01812164389276,0.01812164389276,0.000558927207562676
"17-3",0.971043237088862,0.0289567629111376,0.0289567629111376,0.00112941692702058
"17-4",0.986195722176593,0.0138042778234069,0.0138042778234069,0.000218973590566595
"17-5",0.149426003096603,0.850573996903397,0.401752368313063,0.287082122278312
"17-6",0.509497469240623,0.490502530759377,0.0264615843033487,0.00106071444006966
"17-8",0.151094186695467,0.848905813304533,0.151094186695467,0.0268563825711133
"17-9",0.718788902571093,0.281211097428907,0.067983306593302,0.0104236795568335
"2-3",0.964841700814804,0.0351582991851965,0.0351582991851965,0.00211203053172479
"2-4",0.974520261059183,0.0254797389408168,0.974520261059183,0.950157037716217
"2-7",0.988623656579806,0.0113763434201941,0.0113763434201941,0.000149647584477845
"3-1",0.147264416390603,0.852735583609397,0.537459148746286,0.416195216883368
"3-14",0.987058498222934,0.0129415017770664,0.0129415017770664,0.000200326475718657
"3-18",0.926250504650521,0.0737494953494788,0.0737494953494788,0.0169890776793828
"3-19",0.877201914095016,0.122798085904984,0.122798085904984,0.0294754807065216
"3-20",0.702274784783907,0.297725215216093,0.297725215216093,0.245945842217272
"3-3",0.988598241216321,0.0114017587836791,0.0114017587836791,0.0001421985171795
"3-5",0.675760984924909,0.324239015075091,0.0296249209395214,0.00172593126980658
"3-8",0.520179035188277,0.479820964811723,0.0624105593137971,0.00652150001933082
"3-9",0.695500670757297,0.304499329242703,0.246695502697461,0.113675548884378
"4-14",0.813016065237415,0.186983934762585,0.813016065237415,0.668052978600553
"4-15",0.985363121261341,0.0146368787386589,0.0146368787386589,0.000366790131180729
"4-17",0.977563985786565,0.0224360142134353,0.0224360142134353,0.00082714753725671
"4-2",0.271125100699554,0.728874899300446,0.271125100699554,0.0851531419112481
"4-20",0.910477303863259,0.0895226961367414,0.0895226961367414,0.0218996291189451
"4-21",0.970029074766072,0.0299709252339281,0.0299709252339281,0.00158669972230378
"4-23",0.983577239047084,0.0164227609529159,0.0164227609529159,0.000428344808831262
"4-3",0.981977734318514,0.0180222656814856,0.0180222656814856,0.000622211348622073
"4-4",0.685017177042004,0.314982822957996,0.314982822957996,0.226754192563975
"4-7",0.980300326268256,0.0196996737317436,0.0196996737317436,0.0006086899440249
"4-9",0.990316392123281,0.00968360787671902,0.990316392123281,0.980739568754635
"5-10",0.30461395307774,0.69538604692226,0.30461395307774,0.107836501504971
"5-12",0.938585589769097,0.0614144102309026,0.0614144102309026,0.00477495446146754
"5-5",0.0684364246885287,0.931563575311471,0.0684364246885287,0.00575514415486589
"5-7",0.363071170511575,0.636928829488425,0.13064233792297,0.0307981696637079
"5-9",0.986681600620826,0.0133183993791741,0.0133183993791741,0.00023369831270513
"6-1",0.970904719372162,0.029095280627838,0.029095280627838,0.0013104519431951
"6-4",0.975500297466921,0.0244997025330786,0.0244997025330786,0.000961194873028885
"6-6",0.986035767170013,0.0139642328299872,0.0139642328299872,0.000267812708741099
"6-7",0.941031073581573,0.0589689264184271,0.457803153811467,0.405341978560368
"7-10",0.362095060161417,0.637904939838583,0.362095060161417,0.292786660462338
"7-11",0.975837145968222,0.0241628540317782,0.0241628540317782,0.000940082397692776
"7-12",0.976220431760032,0.0237795682399683,0.0237795682399683,0.000657465417619096
"7-13",0.663664727448124,0.336335272551876,0.0210209476637929,0.000711019578078899
"7-14",0.929356504315517,0.0706434956844827,0.44046846242943,0.381358741170404
"7-15",0.157452465598917,0.842547534401083,0.157452465598917,0.0284451625163957
"7-16",0.983960229143936,0.0160397708560643,0.0160397708560643,0.000302690662297901
"7-19",0.981761895614101,0.0182381043858992,0.0182381043858992,0.000701382418013708
"7-2",0.986644540375769,0.0133554596242308,0.0133554596242308,0.000198605745878841
"7-20",0.532210097382288,0.467789902617712,0.467789902617712,0.435113238031509
"7-23",0.976135260436561,0.0238647395634395,0.0238647395634395,0.00118311928242595
"7-24",0.741643179557207,0.258356820442793,0.741643179557207,0.560135047009782
"7-25",0.983108242737589,0.0168917572624108,0.0168917572624108,0.000472452612280814
"7-25A",0.978702257460462,0.0212977425395378,0.0212977425395378,0.000999130184002282
"7-26",0.989597656530045,0.0104023434699553,0.0104023434699553,0.000118786677309616
"7-29",0.977427706358316,0.0225722936416839,0.0225722936416839,0.000739557247421361
"7-30",0.362115493122199,0.637884506877801,0.362115493122199,0.202305156284797
"7-33",0.903080279451446,0.0969197205485536,0.0969197205485536,0.0131552315391103
"7-34",0.98784890748283,0.0121510925171695,0.0121510925171695,0.000178452288173874
"7-35",0.574756983666226,0.425243016333774,0.216946980701243,0.0835840508643017
"7-37",0.71794327959354,0.28205672040646,0.0815782718418225,0.0132228145622739
"7-4",0.98868568857183,0.0113143114281703,0.0113143114281703,0.000141762664238961
"7-40",0.989923427489475,0.0100765725105252,0.0100765725105252,0.000113616946170646
"7-5",0.726324500974602,0.273675499025398,0.0705848568946026,0.0116411407918592
"7-6",0.983482252421642,0.0165177475783579,0.0165177475783579,0.000379273565674741
"7-7",0.800855089655549,0.199144910344451,0.222426216485923,0.198822499346864
"7-8",0.831092734132728,0.168907265867272,0.168907265867272,0.115722768162419
"7-9A",0.803416874943032,0.196583125056968,0.178875394060671,0.134833791008653
"8-12",0.757088330782036,0.242911669217964,0.221324294687534,0.150735771321756
"8-13",0.792433530281451,0.207566469718549,0.102261186646161,0.0252903039465527
